Product_Name,Product_Price
            Crunchy Chocolate Chip Cookies          ,16.99
            Crunchy Birthday Cake Cookies          ,16.99
            Crunchy Ginger Snap Cookies          ,16.99
            Crunchy Double Chocolate Cookies          ,16.99
            Crunchy Holiday Sprinkle Cookies          ,16.99
            Crunchy Variety Pack          ,22.49
            Soft Baked Pumpkin Spice Cookies          ,16.99
            Soft Baked Cookie Butter Cookies          ,16.99
            Soft Baked Chocolate Chip Cookies          ,16.99
            Soft Baked Lemon Cookies          ,16.99
            Soft Baked Chocolate Peppermint Cookies          ,16.99
            Soft Baked Double Chocolate Brownie Cookies          ,16.99
            Soft Baked Variety Pack          ,22.49
            Soft Baked Snickerdoodle Cookies          ,16.99
            Brownie Mix          ,23.99
            Pizza Crust Baking Mix          ,23.99
            Blondie Mix          ,23.99
            Pumpkin Spice Muffin Baking Mix          ,15.99
            Classic Pancake & Waffle Mix          ,23.99
            Confetti Pancake & Waffle Mix          ,23.99
            Crunchy Variety Pack          ,22.49
            Soft Baked Variety Pack          ,22.49
            All the Cookies! Family Pack (8 Boxes)          ,43.99
            Pumpkin Lover's Variety Pack          ,26.99
            Chocolate Lovers Variety Pack          ,22.49
            Harvest Variety Pack          ,16.99
            Chocolate Lovers Baking Pack          ,24.99
            Denise's Favorites Variety Pack          ,43.99
            Build-Your-Own Variety Pack          ,20.00
            Snack Pack - Chocolate Chip (24 ct)          ,34.99
            Snack Pack - Birthday Cake (24 ct)          ,34.99
            Snack Pack - Pumpkin Spice (24 ct)          ,34.99
            Snack Pack - Soft Baked Chocolate Chip (24 ct)          ,34.99
            Snack Pack - Soft Baked Chocolate Peppermint (24-count)          ,34.99
            Snack Pack - Soft Baked Double Chocolate Brownie (24 ct)          ,34.99
            Crunchy Chocolate Chip Mini Cookies - 10 Snack Packs          ,7.49
            Marvel Crunchy Super Hero Sprinkle Mini Cookie Snack Packs          ,7.49
